"Step","MIFL - test_acc2","MIFL - test_acc2__MIN","MIFL - test_acc2__MAX","Missing-modal FedAvg - test_acc2","Missing-modal FedAvg - test_acc2__MIN","Missing-modal FedAvg - test_acc2__MAX","FedMSplit - test_acc2","FedMSplit - test_acc2__MIN","FedMSplit - test_acc2__MAX","FedAvg - test_acc2","FedAvg - test_acc2__MIN","FedAvg - test_acc2__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.2","0.2","0.2","0.26","0.26","0.26"
"1","0.192","0.192","0.192","0.21437578814627994","0.21437578814627994","0.21437578814627994","0.17","0.17","0.17","0.208","0.208","0.208"
"2","0.23","0.23","0.23","0.21185372005044137","0.21185372005044137","0.21185372005044137","0.218","0.218","0.218","0.23","0.23","0.23"
"3","0.382","0.382","0.382","0.308953341740227","0.308953341740227","0.308953341740227","0.27","0.27","0.27","0.224","0.224","0.224"
"4","0.386","0.386","0.386","0.4401008827238335","0.4401008827238335","0.4401008827238335","0.422","0.422","0.422","0.202","0.202","0.202"
"5","0.526","0.526","0.526","0.4691046658259773","0.4691046658259773","0.4691046658259773","0.338","0.338","0.338","0.2","0.2","0.2"
"6","0.576","0.576","0.576","0.4665825977301387","0.4665825977301387","0.4665825977301387","0.4","0.4","0.4","0.202","0.202","0.202"
"7","0.514","0.514","0.514","0.4930643127364439","0.4930643127364439","0.4930643127364439","0.48","0.48","0.48","0.224","0.224","0.224"
"8","0.528","0.528","0.528","0.575031525851198","0.575031525851198","0.575031525851198","0.498","0.498","0.498","0.198","0.198","0.198"
"9","0.45","0.45","0.45","0.6040353089533418","0.6040353089533418","0.6040353089533418","0.486","0.486","0.486","0.2","0.2","0.2"
"10","0.534","0.534","0.534","0.639344262295082","0.639344262295082","0.639344262295082","0.53","0.53","0.53","0.19","0.19","0.19"
"11","0.616","0.616","0.616","0.669609079445145","0.669609079445145","0.669609079445145","0.546","0.546","0.546","0.186","0.186","0.186"
"12","0.536","0.536","0.536","0.6532156368221942","0.6532156368221942","0.6532156368221942","0.53","0.53","0.53","0.24","0.24","0.24"
"13","0.594","0.594","0.594","0.6343001261034048","0.6343001261034048","0.6343001261034048","0.572","0.572","0.572","0.198","0.198","0.198"
"14","0.632","0.632","0.632","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.592","0.592","0.592","0.194","0.194","0.194"
"15","0.654","0.654","0.654","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.61","0.61","0.61","0.212","0.212","0.212"
"16","0.64","0.64","0.64","0.699873896595208","0.699873896595208","0.699873896595208","0.59","0.59","0.59","0.186","0.186","0.186"
"17","0.664","0.664","0.664","0.6847414880201765","0.6847414880201765","0.6847414880201765","0.586","0.586","0.586","0.208","0.208","0.208"
"18","0.648","0.648","0.648","0.694829760403531","0.694829760403531","0.694829760403531","0.578","0.578","0.578","0.194","0.194","0.194"
"19","0.682","0.682","0.682","0.7162673392181589","0.7162673392181589","0.7162673392181589","0.582","0.582","0.582","0.208","0.208","0.208"
"20","0.446","0.446","0.446","0.7175283732660782","0.7175283732660782","0.7175283732660782","0.552","0.552","0.552","0.2","0.2","0.2"
"21","0.508","0.508","0.508","0.7301387137452712","0.7301387137452712","0.7301387137452712","0.578","0.578","0.578","0.21","0.21","0.21"
"22","0.63","0.63","0.63","0.7288776796973518","0.7288776796973518","0.7288776796973518","0.62","0.62","0.62","0.192","0.192","0.192"
"23","0.69","0.69","0.69","0.7263556116015133","0.7263556116015133","0.7263556116015133","0.602","0.602","0.602","0.194","0.194","0.194"
"24","0.678","0.678","0.678","0.7238335435056746","0.7238335435056746","0.7238335435056746","0.63","0.63","0.63","0.192","0.192","0.192"
"25","0.696","0.696","0.696","0.7200504413619168","0.7200504413619168","0.7200504413619168","0.582","0.582","0.582","0.19","0.19","0.19"
"26","0.702","0.702","0.702","0.7351828499369483","0.7351828499369483","0.7351828499369483","0.604","0.604","0.604","0.182","0.182","0.182"
"27","0.66","0.66","0.66","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.616","0.616","0.616","0.188","0.188","0.188"
"28","0.694","0.694","0.694","0.733921815889029","0.733921815889029","0.733921815889029","0.61","0.61","0.61","0.21","0.21","0.21"
"29","0.644","0.644","0.644","0.7326607818411097","0.7326607818411097","0.7326607818411097","0.6","0.6","0.6","0.214","0.214","0.214"
"30","0.706","0.706","0.706","0.7402269861286255","0.7402269861286255","0.7402269861286255","0.596","0.596","0.596","0.208","0.208","0.208"
"31","0.69","0.69","0.69","0.7364438839848676","0.7364438839848676","0.7364438839848676","0.618","0.618","0.618","0.262","0.262","0.262"
"32","0.582","0.582","0.582","0.7377049180327869","0.7377049180327869","0.7377049180327869","0.616","0.616","0.616","0.22","0.22","0.22"
"33","0.638","0.638","0.638","0.7288776796973518","0.7288776796973518","0.7288776796973518","0.604","0.604","0.604","0.228","0.228","0.228"
"34","0.658","0.658","0.658","0.7326607818411097","0.7326607818411097","0.7326607818411097","0.662","0.662","0.662","0.234","0.234","0.234"
"35","0.73","0.73","0.73","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.62","0.62","0.62","0.238","0.238","0.238"
"36","0.726","0.726","0.726","0.7465321563682219","0.7465321563682219","0.7465321563682219","0.628","0.628","0.628","0.256","0.256","0.256"
"37","0.712","0.712","0.712","0.755359394703657","0.755359394703657","0.755359394703657","0.64","0.64","0.64","0.25","0.25","0.25"
"38","0.726","0.726","0.726","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.656","0.656","0.656","0.252","0.252","0.252"
"39","0.732","0.732","0.732","0.7503152585119798","0.7503152585119798","0.7503152585119798","0.64","0.64","0.64","0.244","0.244","0.244"
"40","0.722","0.722","0.722","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.634","0.634","0.634","0.266","0.266","0.266"
"41","0.7","0.7","0.7","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.618","0.618","0.618","0.264","0.264","0.264"
"42","0.74","0.74","0.74","0.7465321563682219","0.7465321563682219","0.7465321563682219","0.638","0.638","0.638","0.27","0.27","0.27"
"43","0.72","0.72","0.72","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.644","0.644","0.644","0.258","0.258","0.258"
"44","0.742","0.742","0.742","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.636","0.636","0.636","0.27","0.27","0.27"
"45","0.72","0.72","0.72","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.644","0.644","0.644","0.262","0.262","0.262"
"46","0.718","0.718","0.718","0.742749054224464","0.742749054224464","0.742749054224464","0.618","0.618","0.618","0.258","0.258","0.258"
"47","0.712","0.712","0.712","0.755359394703657","0.755359394703657","0.755359394703657","0.648","0.648","0.648","0.296","0.296","0.296"
"48","0.738","0.738","0.738","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.598","0.598","0.598","0.264","0.264","0.264"
"49","0.612","0.612","0.612","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.608","0.608","0.608","0.264","0.264","0.264"
"50","0.688","0.688","0.688","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.62","0.62","0.62","0.25","0.25","0.25"
"51","0.74","0.74","0.74","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.64","0.64","0.64","0.274","0.274","0.274"
"52","0.708","0.708","0.708","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.626","0.626","0.626","0.31","0.31","0.31"
"53","0.732","0.732","0.732","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.626","0.626","0.626","0.272","0.272","0.272"
"54","0.696","0.696","0.696","0.7440100882723834","0.7440100882723834","0.7440100882723834","0.63","0.63","0.63","0.278","0.278","0.278"
"55","0.744","0.744","0.744","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.62","0.62","0.62","0.29","0.29","0.29"
"56","0.684","0.684","0.684","0.7566204287515763","0.7566204287515763","0.7566204287515763","0.65","0.65","0.65","0.28","0.28","0.28"
"57","0.734","0.734","0.734","0.7414880201765448","0.7414880201765448","0.7414880201765448","0.642","0.642","0.642","0.278","0.278","0.278"
"58","0.742","0.742","0.742","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.664","0.664","0.664","0.268","0.268","0.268"
"59","0.736","0.736","0.736","0.755359394703657","0.755359394703657","0.755359394703657","0.614","0.614","0.614","0.272","0.272","0.272"
"60","0.726","0.726","0.726","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.62","0.62","0.62","0.278","0.278","0.278"
"61","0.708","0.708","0.708","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.64","0.64","0.64","0.292","0.292","0.292"
"62","0.738","0.738","0.738","0.7528373266078184","0.7528373266078184","0.7528373266078184","0.646","0.646","0.646","0.284","0.284","0.284"
"63","0.726","0.726","0.726","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.626","0.626","0.626","0.276","0.276","0.276"
"64","0.714","0.714","0.714","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.636","0.636","0.636","0.298","0.298","0.298"
"65","0.75","0.75","0.75","0.7578814627994955","0.7578814627994955","0.7578814627994955","0.662","0.662","0.662","0.298","0.298","0.298"
"66","0.726","0.726","0.726","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.636","0.636","0.636","0.286","0.286","0.286"
"67","0.732","0.732","0.732","0.755359394703657","0.755359394703657","0.755359394703657","0.596","0.596","0.596","0.294","0.294","0.294"
"68","0.76","0.76","0.76","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.646","0.646","0.646","0.31","0.31","0.31"
"69","0.74","0.74","0.74","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.626","0.626","0.626","0.284","0.284","0.284"
"70","0.758","0.758","0.758","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.62","0.62","0.62","0.27","0.27","0.27"
"71","0.758","0.758","0.758","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.606","0.606","0.606","0.31","0.31","0.31"
"72","0.754","0.754","0.754","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.62","0.62","0.62","0.302","0.302","0.302"
"73","0.748","0.748","0.748","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.616","0.616","0.616","0.312","0.312","0.312"
"74","0.744","0.744","0.744","0.7578814627994955","0.7578814627994955","0.7578814627994955","0.662","0.662","0.662","0.286","0.286","0.286"
"75","0.744","0.744","0.744","0.7831021437578815","0.7831021437578815","0.7831021437578815","0.606","0.606","0.606","0.302","0.302","0.302"
"76","0.752","0.752","0.752","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.622","0.622","0.622","0.294","0.294","0.294"
"77","0.752","0.752","0.752","0.7578814627994955","0.7578814627994955","0.7578814627994955","0.668","0.668","0.668","0.3","0.3","0.3"
"78","0.754","0.754","0.754","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.634","0.634","0.634","0.304","0.304","0.304"
"79","0.754","0.754","0.754","0.776796973518285","0.776796973518285","0.776796973518285","0.622","0.622","0.622","0.31","0.31","0.31"
"80","0.738","0.738","0.738","0.7566204287515763","0.7566204287515763","0.7566204287515763","0.636","0.636","0.636","0.286","0.286","0.286"
"81","0.744","0.744","0.744","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.626","0.626","0.626","0.296","0.296","0.296"
"82","0.768","0.768","0.768","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.644","0.644","0.644","0.29","0.29","0.29"
"83","0.2","0.2","0.2","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.624","0.624","0.624","0.314","0.314","0.314"
"84","0.75","0.75","0.75","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.612","0.612","0.612","0.296","0.296","0.296"
"85","0.712","0.712","0.712","0.776796973518285","0.776796973518285","0.776796973518285","0.626","0.626","0.626","0.278","0.278","0.278"
"86","0.72","0.72","0.72","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.65","0.65","0.65","0.318","0.318","0.318"
"87","0.736","0.736","0.736","0.755359394703657","0.755359394703657","0.755359394703657","0.634","0.634","0.634","0.308","0.308","0.308"
"88","0.738","0.738","0.738","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.622","0.622","0.622","0.322","0.322","0.322"
"89","0.73","0.73","0.73","0.7843631778058008","0.7843631778058008","0.7843631778058008","0.634","0.634","0.634","0.292","0.292","0.292"
"90","0.758","0.758","0.758","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.63","0.63","0.63","0.322","0.322","0.322"
"91","0.732","0.732","0.732","0.7831021437578815","0.7831021437578815","0.7831021437578815","0.634","0.634","0.634","0.276","0.276","0.276"
"92","0.748","0.748","0.748","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.616","0.616","0.616","0.314","0.314","0.314"
"93","0.748","0.748","0.748","0.7692307692307693","0.7692307692307693","0.7692307692307693","0.618","0.618","0.618","0.282","0.282","0.282"
"94","0.77","0.77","0.77","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.636","0.636","0.636","0.314","0.314","0.314"
"95","0.752","0.752","0.752","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.594","0.594","0.594","0.272","0.272","0.272"
"96","0.736","0.736","0.736","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.622","0.622","0.622","0.29","0.29","0.29"
"97","0.732","0.732","0.732","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.596","0.596","0.596","0.302","0.302","0.302"
"98","0.742","0.742","0.742","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.628","0.628","0.628","0.298","0.298","0.298"
"99","0.734","0.734","0.734","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.624","0.624","0.624","0.31","0.31","0.31"
"100","0.728","0.728","0.728","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.616","0.616","0.616","0.332","0.332","0.332"
"101","0.762","0.762","0.762","0.7906683480453972","0.7906683480453972","0.7906683480453972","0.65","0.65","0.65","0.288","0.288","0.288"
"102","0.768","0.768","0.768","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.652","0.652","0.652","0.288","0.288","0.288"
"103","0.742","0.742","0.742","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.624","0.624","0.624","0.308","0.308","0.308"
"104","0.75","0.75","0.75","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.64","0.64","0.64","0.306","0.306","0.306"
"105","0.742","0.742","0.742","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.644","0.644","0.644","0.308","0.308","0.308"
