"Step","MIFL - test_acc3","MIFL - test_acc3__MIN","MIFL - test_acc3__MAX","Missing-modal FedAvg - test_acc3","Missing-modal FedAvg - test_acc3__MIN","Missing-modal FedAvg - test_acc3__MAX","FedMSplit - test_acc3","FedMSplit - test_acc3__MIN","FedMSplit - test_acc3__MAX","FedAvg - test_acc3","FedAvg - test_acc3__MIN","FedAvg - test_acc3__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.194","0.194","0.194","0.232","0.232","0.232"
"1","0.22","0.22","0.22","0.21059268600252207","0.21059268600252207","0.21059268600252207","0.172","0.172","0.172","0.202","0.202","0.202"
"2","0.254","0.254","0.254","0.21311475409836064","0.21311475409836064","0.21311475409836064","0.23","0.23","0.23","0.212","0.212","0.212"
"3","0.4","0.4","0.4","0.3253467843631778","0.3253467843631778","0.3253467843631778","0.264","0.264","0.264","0.214","0.214","0.214"
"4","0.354","0.354","0.354","0.4274905422446406","0.4274905422446406","0.4274905422446406","0.398","0.398","0.398","0.3","0.3","0.3"
"5","0.52","0.52","0.52","0.46532156368221944","0.46532156368221944","0.46532156368221944","0.398","0.398","0.398","0.338","0.338","0.338"
"6","0.55","0.55","0.55","0.467843631778058","0.467843631778058","0.467843631778058","0.458","0.458","0.458","0.302","0.302","0.302"
"7","0.508","0.508","0.508","0.4968474148802018","0.4968474148802018","0.4968474148802018","0.506","0.506","0.506","0.342","0.342","0.342"
"8","0.574","0.574","0.574","0.5573770491803278","0.5573770491803278","0.5573770491803278","0.502","0.502","0.502","0.288","0.288","0.288"
"9","0.49","0.49","0.49","0.6166456494325346","0.6166456494325346","0.6166456494325346","0.54","0.54","0.54","0.36","0.36","0.36"
"10","0.57","0.57","0.57","0.6494325346784363","0.6494325346784363","0.6494325346784363","0.552","0.552","0.552","0.36","0.36","0.36"
"11","0.618","0.618","0.618","0.6670870113493065","0.6670870113493065","0.6670870113493065","0.578","0.578","0.578","0.446","0.446","0.446"
"12","0.508","0.508","0.508","0.6557377049180327","0.6557377049180327","0.6557377049180327","0.502","0.502","0.502","0.458","0.458","0.458"
"13","0.584","0.584","0.584","0.6254728877679697","0.6254728877679697","0.6254728877679697","0.574","0.574","0.574","0.452","0.452","0.452"
"14","0.65","0.65","0.65","0.6960907944514502","0.6960907944514502","0.6960907944514502","0.622","0.622","0.622","0.466","0.466","0.466"
"15","0.67","0.67","0.67","0.6885245901639344","0.6885245901639344","0.6885245901639344","0.606","0.606","0.606","0.428","0.428","0.428"
"16","0.554","0.554","0.554","0.699873896595208","0.699873896595208","0.699873896595208","0.588","0.588","0.588","0.396","0.396","0.396"
"17","0.65","0.65","0.65","0.6721311475409836","0.6721311475409836","0.6721311475409836","0.59","0.59","0.59","0.422","0.422","0.422"
