"Step","MIFL - test_acc5","MIFL - test_acc5__MIN","MIFL - test_acc5__MAX","Missing-modal FedAvg - test_acc5","Missing-modal FedAvg - test_acc5__MIN","Missing-modal FedAvg - test_acc5__MAX","FedMSplit - test_acc5","FedMSplit - test_acc5__MIN","FedMSplit - test_acc5__MAX","FedAvg - test_acc5","FedAvg - test_acc5__MIN","FedAvg - test_acc5__MAX"
"44","0.752","0.752","0.752","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.746","0.746","0.746","0.696","0.696","0.696"
"45","0.764","0.764","0.764","0.7566204287515763","0.7566204287515763","0.7566204287515763","0.746","0.746","0.746","0.69","0.69","0.69"
"46","0.76","0.76","0.76","0.7452711223203027","0.7452711223203027","0.7452711223203027","0.732","0.732","0.732","0.722","0.722","0.722"
"47","0.76","0.76","0.76","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.74","0.74","0.74","0.708","0.708","0.708"
"48","0.756","0.756","0.756","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.746","0.746","0.746","0.71","0.71","0.71"
"49","0.732","0.732","0.732","0.7503152585119798","0.7503152585119798","0.7503152585119798","0.746","0.746","0.746","0.71","0.71","0.71"
"50","0.77","0.77","0.77","0.7477931904161412","0.7477931904161412","0.7477931904161412","0.718","0.718","0.718","0.678","0.678","0.678"
"51","0.726","0.726","0.726","0.742749054224464","0.742749054224464","0.742749054224464","0.726","0.726","0.726","0.702","0.702","0.702"
"52","0.752","0.752","0.752","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.724","0.724","0.724","0.676","0.676","0.676"
"53","0.772","0.772","0.772","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.714","0.714","0.714","0.708","0.708","0.708"
"54","0.756","0.756","0.756","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.734","0.734","0.734","0.692","0.692","0.692"
"55","0.762","0.762","0.762","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.728","0.728","0.728","0.716","0.716","0.716"
"56","0.734","0.734","0.734","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.742","0.742","0.742","0.714","0.714","0.714"
"57","0.756","0.756","0.756","0.755359394703657","0.755359394703657","0.755359394703657","0.75","0.75","0.75","0.706","0.706","0.706"
"58","0.764","0.764","0.764","0.7566204287515763","0.7566204287515763","0.7566204287515763","0.748","0.748","0.748","0.716","0.716","0.716"
"59","0.762","0.762","0.762","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.728","0.728","0.728","0.7","0.7","0.7"
"60","0.756","0.756","0.756","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.722","0.722","0.722","0.706","0.706","0.706"
"61","0.738","0.738","0.738","0.755359394703657","0.755359394703657","0.755359394703657","0.744","0.744","0.744","0.704","0.704","0.704"
"62","0.746","0.746","0.746","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.744","0.744","0.744","0.684","0.684","0.684"
"63","0.75","0.75","0.75","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.744","0.744","0.744","0.71","0.71","0.71"
"64","0.754","0.754","0.754","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.736","0.736","0.736","0.69","0.69","0.69"
"65","0.744","0.744","0.744","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.738","0.738","0.738","0.724","0.724","0.724"
"66","0.762","0.762","0.762","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.718","0.718","0.718","0.716","0.716","0.716"
"67","0.786","0.786","0.786","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.724","0.724","0.724","0.716","0.716","0.716"
"68","0.78","0.78","0.78","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.728","0.728","0.728","0.706","0.706","0.706"
"69","0.766","0.766","0.766","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.732","0.732","0.732","0.718","0.718","0.718"
"70","0.772","0.772","0.772","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.744","0.744","0.744","0.686","0.686","0.686"
"71","0.774","0.774","0.774","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.728","0.728","0.728","0.694","0.694","0.694"
"72","0.778","0.778","0.778","0.7742749054224464","0.7742749054224464","0.7742749054224464","0.756","0.756","0.756","0.714","0.714","0.714"
"73","0.76","0.76","0.76","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.732","0.732","0.732","0.694","0.694","0.694"
"74","0.744","0.744","0.744","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.728","0.728","0.728","0.706","0.706","0.706"
"75","0.768","0.768","0.768","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.734","0.734","0.734","0.73","0.73","0.73"
"76","0.762","0.762","0.762","0.7528373266078184","0.7528373266078184","0.7528373266078184","0.738","0.738","0.738","0.71","0.71","0.71"
"77","0.766","0.766","0.766","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.718","0.718","0.718","0.696","0.696","0.696"
"78","0.768","0.768","0.768","0.7704918032786885","0.7704918032786885","0.7704918032786885","0.738","0.738","0.738","0.718","0.718","0.718"
"79","0.756","0.756","0.756","0.7755359394703657","0.7755359394703657","0.7755359394703657","0.73","0.73","0.73","0.692","0.692","0.692"
"80","0.786","0.786","0.786","0.755359394703657","0.755359394703657","0.755359394703657","0.728","0.728","0.728","0.732","0.732","0.732"
"81","0.768","0.768","0.768","0.7679697351828499","0.7679697351828499","0.7679697351828499","0.74","0.74","0.74","0.702","0.702","0.702"
"82","0.754","0.754","0.754","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.724","0.724","0.724","0.708","0.708","0.708"
"83","0.2","0.2","0.2","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.722","0.722","0.722","0.694","0.694","0.694"
"84","0.746","0.746","0.746","0.776796973518285","0.776796973518285","0.776796973518285","0.724","0.724","0.724","0.738","0.738","0.738"
"85","0.746","0.746","0.746","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.74","0.74","0.74","0.72","0.72","0.72"
"86","0.754","0.754","0.754","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.732","0.732","0.732","0.7","0.7","0.7"
