"Step","MIFL - test_acc4","MIFL - test_acc4__MIN","MIFL - test_acc4__MAX","Missing-modal FedAvg - test_acc4","Missing-modal FedAvg - test_acc4__MIN","Missing-modal FedAvg - test_acc4__MAX","FedMSplit - test_acc4","FedMSplit - test_acc4__MIN","FedMSplit - test_acc4__MAX","FedAvg - test_acc4","FedAvg - test_acc4__MIN","FedAvg - test_acc4__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.188","0.188","0.188","0.248","0.248","0.248"
"1","0.208","0.208","0.208","0.21311475409836064","0.21311475409836064","0.21311475409836064","0.166","0.166","0.166","0.21","0.21","0.21"
"2","0.312","0.312","0.312","0.21311475409836064","0.21311475409836064","0.21311475409836064","0.222","0.222","0.222","0.242","0.242","0.242"
"3","0.32","0.32","0.32","0.31525851197982346","0.31525851197982346","0.31525851197982346","0.236","0.236","0.236","0.196","0.196","0.196"
"4","0.34","0.34","0.34","0.43253467843631777","0.43253467843631777","0.43253467843631777","0.366","0.366","0.366","0.206","0.206","0.206"
"5","0.406","0.406","0.406","0.47540983606557374","0.47540983606557374","0.47540983606557374","0.392","0.392","0.392","0.208","0.208","0.208"
"6","0.51","0.51","0.51","0.4691046658259773","0.4691046658259773","0.4691046658259773","0.448","0.448","0.448","0.24","0.24","0.24"
"7","0.496","0.496","0.496","0.5056746532156369","0.5056746532156369","0.5056746532156369","0.484","0.484","0.484","0.306","0.306","0.306"
"8","0.57","0.57","0.57","0.5598991172761665","0.5598991172761665","0.5598991172761665","0.484","0.484","0.484","0.35","0.35","0.35"
"9","0.482","0.482","0.482","0.6116015132408575","0.6116015132408575","0.6116015132408575","0.49","0.49","0.49","0.438","0.438","0.438"
"10","0.556","0.556","0.556","0.6469104665825978","0.6469104665825978","0.6469104665825978","0.514","0.514","0.514","0.378","0.378","0.378"
"11","0.552","0.552","0.552","0.6834804539722572","0.6834804539722572","0.6834804539722572","0.518","0.518","0.518","0.448","0.448","0.448"
"12","0.578","0.578","0.578","0.6607818411097099","0.6607818411097099","0.6607818411097099","0.472","0.472","0.472","0.442","0.442","0.442"
"13","0.608","0.608","0.608","0.6191677175283733","0.6191677175283733","0.6191677175283733","0.544","0.544","0.544","0.438","0.438","0.438"
"14","0.56","0.56","0.56","0.669609079445145","0.669609079445145","0.669609079445145","0.542","0.542","0.542","0.488","0.488","0.488"
"15","0.616","0.616","0.616","0.682219419924338","0.682219419924338","0.682219419924338","0.562","0.562","0.562","0.412","0.412","0.412"
"16","0.516","0.516","0.516","0.691046658259773","0.691046658259773","0.691046658259773","0.572","0.572","0.572","0.394","0.394","0.394"
"17","0.622","0.622","0.622","0.691046658259773","0.691046658259773","0.691046658259773","0.576","0.576","0.576","0.452","0.452","0.452"
"18","0.632","0.632","0.632","0.6986128625472888","0.6986128625472888","0.6986128625472888","0.574","0.574","0.574","0.45","0.45","0.45"
"19","0.662","0.662","0.662","0.7150063051702396","0.7150063051702396","0.7150063051702396","0.596","0.596","0.596","0.486","0.486","0.486"
"20","0.662","0.662","0.662","0.7087011349306431","0.7087011349306431","0.7087011349306431","0.564","0.564","0.564","0.492","0.492","0.492"
"21","0.658","0.658","0.658","0.7364438839848676","0.7364438839848676","0.7364438839848676","0.578","0.578","0.578","0.486","0.486","0.486"
"22","0.682","0.682","0.682","0.7061790668348046","0.7061790668348046","0.7061790668348046","0.6","0.6","0.6","0.504","0.504","0.504"
"23","0.656","0.656","0.656","0.7263556116015133","0.7263556116015133","0.7263556116015133","0.618","0.618","0.618","0.512","0.512","0.512"
"24","0.674","0.674","0.674","0.7213114754098361","0.7213114754098361","0.7213114754098361","0.586","0.586","0.586","0.506","0.506","0.506"
"25","0.686","0.686","0.686","0.725094577553594","0.725094577553594","0.725094577553594","0.586","0.586","0.586","0.512","0.512","0.512"
"26","0.678","0.678","0.678","0.7402269861286255","0.7402269861286255","0.7402269861286255","0.546","0.546","0.546","0.518","0.518","0.518"
"27","0.658","0.658","0.658","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.6","0.6","0.6","0.53","0.53","0.53"
"28","0.668","0.668","0.668","0.7351828499369483","0.7351828499369483","0.7351828499369483","0.546","0.546","0.546","0.536","0.536","0.536"
"29","0.696","0.696","0.696","0.7238335435056746","0.7238335435056746","0.7238335435056746","0.578","0.578","0.578","0.532","0.532","0.532"
"30","0.65","0.65","0.65","0.7187894073139974","0.7187894073139974","0.7187894073139974","0.622","0.622","0.622","0.534","0.534","0.534"
"31","0.67","0.67","0.67","0.7578814627994955","0.7578814627994955","0.7578814627994955","0.624","0.624","0.624","0.54","0.54","0.54"
"32","0.504","0.504","0.504","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.642","0.642","0.642","0.552","0.552","0.552"
"33","0.652","0.652","0.652","0.733921815889029","0.733921815889029","0.733921815889029","0.63","0.63","0.63","0.548","0.548","0.548"
"34","0.688","0.688","0.688","0.7288776796973518","0.7288776796973518","0.7288776796973518","0.596","0.596","0.596","0.528","0.528","0.528"
"35","0.672","0.672","0.672","0.7477931904161412","0.7477931904161412","0.7477931904161412","0.61","0.61","0.61","0.562","0.562","0.562"
"36","0.694","0.694","0.694","0.7402269861286255","0.7402269861286255","0.7402269861286255","0.626","0.626","0.626","0.56","0.56","0.56"
"37","0.714","0.714","0.714","0.7452711223203027","0.7452711223203027","0.7452711223203027","0.622","0.622","0.622","0.572","0.572","0.572"
"38","0.702","0.702","0.702","0.7414880201765448","0.7414880201765448","0.7414880201765448","0.614","0.614","0.614","0.558","0.558","0.558"
"39","0.702","0.702","0.702","0.7477931904161412","0.7477931904161412","0.7477931904161412","0.606","0.606","0.606","0.568","0.568","0.568"
"40","0.688","0.688","0.688","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.602","0.602","0.602","0.592","0.592","0.592"
"41","0.696","0.696","0.696","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.62","0.62","0.62","0.562","0.562","0.562"
"42","0.7","0.7","0.7","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.666","0.666","0.666","0.608","0.608","0.608"
"43","0.718","0.718","0.718","0.7213114754098361","0.7213114754098361","0.7213114754098361","0.624","0.624","0.624","0.572","0.572","0.572"
"44","0.706","0.706","0.706","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.622","0.622","0.622","0.602","0.602","0.602"
"45","0.676","0.676","0.676","0.7604035308953342","0.7604035308953342","0.7604035308953342","0.668","0.668","0.668","0.578","0.578","0.578"
"46","0.704","0.704","0.704","0.7402269861286255","0.7402269861286255","0.7402269861286255","0.632","0.632","0.632","0.596","0.596","0.596"
"47","0.738","0.738","0.738","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.608","0.608","0.608","0.608","0.608","0.608"
"48","0.712","0.712","0.712","0.755359394703657","0.755359394703657","0.755359394703657","0.622","0.622","0.622","0.628","0.628","0.628"
"49","0.686","0.686","0.686","0.7616645649432535","0.7616645649432535","0.7616645649432535","0.628","0.628","0.628","0.614","0.614","0.614"
"50","0.716","0.716","0.716","0.7591424968474149","0.7591424968474149","0.7591424968474149","0.64","0.64","0.64","0.584","0.584","0.584"
