"Step","MIFL - test_acc6","MIFL - test_acc6__MIN","MIFL - test_acc6__MAX","Missing-modal FedAvg - test_acc6","Missing-modal FedAvg - test_acc6__MIN","Missing-modal FedAvg - test_acc6__MAX","FedMSplit - test_acc6","FedMSplit - test_acc6__MIN","FedMSplit - test_acc6__MAX","FedAvg - test_acc6","FedAvg - test_acc6__MIN","FedAvg - test_acc6__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.198","0.198","0.198","0.242","0.242","0.242"
"1","0.2","0.2","0.2","0.21311475409836064","0.21311475409836064","0.21311475409836064","0.174","0.174","0.174","0.224","0.224","0.224"
"2","0.266","0.266","0.266","0.21059268600252207","0.21059268600252207","0.21059268600252207","0.204","0.204","0.204","0.2","0.2","0.2"
"3","0.372","0.372","0.372","0.3114754098360656","0.3114754098360656","0.3114754098360656","0.246","0.246","0.246","0.198","0.198","0.198"
"4","0.378","0.378","0.378","0.43883984867591425","0.43883984867591425","0.43883984867591425","0.338","0.338","0.338","0.222","0.222","0.222"
"5","0.522","0.522","0.522","0.48045397225725095","0.48045397225725095","0.48045397225725095","0.44","0.44","0.44","0.228","0.228","0.228"
"6","0.574","0.574","0.574","0.4791929382093317","0.4791929382093317","0.4791929382093317","0.46","0.46","0.46","0.258","0.258","0.258"
"7","0.558","0.558","0.558","0.4791929382093317","0.4791929382093317","0.4791929382093317","0.49","0.49","0.49","0.328","0.328","0.328"
"8","0.554","0.554","0.554","0.5712484237074401","0.5712484237074401","0.5712484237074401","0.506","0.506","0.506","0.338","0.338","0.338"
"9","0.53","0.53","0.53","0.6191677175283733","0.6191677175283733","0.6191677175283733","0.518","0.518","0.518","0.452","0.452","0.452"
"10","0.604","0.604","0.604","0.6456494325346784","0.6456494325346784","0.6456494325346784","0.52","0.52","0.52","0.41","0.41","0.41"
"11","0.62","0.62","0.62","0.6746532156368222","0.6746532156368222","0.6746532156368222","0.546","0.546","0.546","0.478","0.478","0.478"
"12","0.616","0.616","0.616","0.6582597730138714","0.6582597730138714","0.6582597730138714","0.52","0.52","0.52","0.502","0.502","0.502"
"13","0.63","0.63","0.63","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.56","0.56","0.56","0.48","0.48","0.48"
"14","0.59","0.59","0.59","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.58","0.58","0.58","0.49","0.49","0.49"
"15","0.656","0.656","0.656","0.6746532156368222","0.6746532156368222","0.6746532156368222","0.592","0.592","0.592","0.486","0.486","0.486"
