"Step","MIFL - test_acc1","MIFL - test_acc1__MIN","MIFL - test_acc1__MAX","Missing-modal FedAvg - test_acc1","Missing-modal FedAvg - test_acc1__MIN","Missing-modal FedAvg - test_acc1__MAX","FedMSplit - test_acc1","FedMSplit - test_acc1__MIN","FedMSplit - test_acc1__MAX","FedAvg - test_acc1","FedAvg - test_acc1__MIN","FedAvg - test_acc1__MAX"
"0","0.2","0.2","0.2","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.202","0.202","0.202","0.206","0.206","0.206"
"1","0.204","0.204","0.204","0.21185372005044137","0.21185372005044137","0.21185372005044137","0.168","0.168","0.168","0.2","0.2","0.2"
"2","0.302","0.302","0.302","0.21311475409836064","0.21311475409836064","0.21311475409836064","0.254","0.254","0.254","0.206","0.206","0.206"
"3","0.358","0.358","0.358","0.31778058007566207","0.31778058007566207","0.31778058007566207","0.292","0.292","0.292","0.208","0.208","0.208"
"4","0.308","0.308","0.308","0.4337957124842371","0.4337957124842371","0.4337957124842371","0.332","0.332","0.332","0.212","0.212","0.212"
"5","0.472","0.472","0.472","0.4791929382093317","0.4791929382093317","0.4791929382093317","0.36","0.36","0.36","0.202","0.202","0.202"
"6","0.49","0.49","0.49","0.47793190416141235","0.47793190416141235","0.47793190416141235","0.378","0.378","0.378","0.182","0.182","0.182"
"7","0.47","0.47","0.47","0.489281210592686","0.489281210592686","0.489281210592686","0.44","0.44","0.44","0.194","0.194","0.194"
"8","0.442","0.442","0.442","0.5649432534678437","0.5649432534678437","0.5649432534678437","0.414","0.414","0.414","0.196","0.196","0.196"
"9","0.262","0.262","0.262","0.6027742749054225","0.6027742749054225","0.6027742749054225","0.34","0.34","0.34","0.226","0.226","0.226"
"10","0.398","0.398","0.398","0.6494325346784363","0.6494325346784363","0.6494325346784363","0.4","0.4","0.4","0.208","0.208","0.208"
"11","0.456","0.456","0.456","0.6733921815889029","0.6733921815889029","0.6733921815889029","0.454","0.454","0.454","0.186","0.186","0.186"
"12","0.418","0.418","0.418","0.648171500630517","0.648171500630517","0.648171500630517","0.44","0.44","0.44","0.246","0.246","0.246"
"13","0.482","0.482","0.482","0.6216897856242118","0.6216897856242118","0.6216897856242118","0.466","0.466","0.466","0.23","0.23","0.23"
"14","0.462","0.462","0.462","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.42","0.42","0.42","0.214","0.214","0.214"
"15","0.526","0.526","0.526","0.6759142496847415","0.6759142496847415","0.6759142496847415","0.482","0.482","0.482","0.226","0.226","0.226"
"16","0.5","0.5","0.5","0.7036569987389659","0.7036569987389659","0.7036569987389659","0.456","0.456","0.456","0.234","0.234","0.234"
"17","0.536","0.536","0.536","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.462","0.462","0.462","0.22","0.22","0.22"
"18","0.528","0.528","0.528","0.6986128625472888","0.6986128625472888","0.6986128625472888","0.454","0.454","0.454","0.222","0.222","0.222"
"19","0.568","0.568","0.568","0.7225725094577553","0.7225725094577553","0.7225725094577553","0.452","0.452","0.452","0.23","0.23","0.23"
"20","0.298","0.298","0.298","0.7313997477931904","0.7313997477931904","0.7313997477931904","0.422","0.422","0.422","0.226","0.226","0.226"
