Step,full_modal - test_acc,full_modal - test_acc__MIN,full_modal - test_acc__MAX
207,0.771752837,0.771752837,0.771752837
208,0.767969735,0.767969735,0.767969735
209,0.783102144,0.783102144,0.783102144
210,0.778058008,0.778058008,0.778058008
211,0.778058008,0.778058008,0.778058008
212,0.779319042,0.779319042,0.779319042
213,0.789407314,0.789407314,0.789407314
214,0.80075662,0.80075662,0.80075662
215,0.78814628,0.78814628,0.78814628
216,0.779319042,0.779319042,0.779319042
217,0.78814628,0.78814628,0.78814628
218,0.766708701,0.766708701,0.766708701
219,0.770491803,0.770491803,0.770491803
220,0.774274905,0.774274905,0.774274905
221,0.773013871,0.773013871,0.773013871
222,0.790668348,0.790668348,0.790668348
223,0.78184111,0.78184111,0.78184111
224,0.78184111,0.78184111,0.78184111
225,0.755359395,0.755359395,0.755359395
226,0.774274905,0.774274905,0.774274905
227,0.762925599,0.762925599,0.762925599
228,0.789407314,0.789407314,0.789407314
229,0.783102144,0.783102144,0.783102144
230,0.796973518,0.796973518,0.796973518
231,0.769230769,0.769230769,0.769230769
232,0.770491803,0.770491803,0.770491803
233,0.785624212,0.785624212,0.785624212
234,0.774274905,0.774274905,0.774274905
235,0.780580076,0.780580076,0.780580076
236,0.764186633,0.764186633,0.764186633
237,0.78184111,0.78184111,0.78184111
238,0.776796974,0.776796974,0.776796974
239,0.773013871,0.773013871,0.773013871
240,0.773013871,0.773013871,0.773013871
241,0.778058008,0.778058008,0.778058008
242,0.764186633,0.764186633,0.764186633
243,0.783102144,0.783102144,0.783102144
244,0.785624212,0.785624212,0.785624212
245,0.773013871,0.773013871,0.773013871
246,0.79445145,0.79445145,0.79445145
247,0.775535939,0.775535939,0.775535939
248,0.78814628,0.78814628,0.78814628
249,0.786885246,0.786885246,0.786885246
250,0.790668348,0.790668348,0.790668348
251,0.769230769,0.769230769,0.769230769
252,0.78184111,0.78184111,0.78184111
253,0.775535939,0.775535939,0.775535939
254,0.790668348,0.790668348,0.790668348
255,0.776796974,0.776796974,0.776796974
256,0.784363178,0.784363178,0.784363178
257,0.79445145,0.79445145,0.79445145
258,0.786885246,0.786885246,0.786885246
259,0.775535939,0.775535939,0.775535939
260,0.771752837,0.771752837,0.771752837
261,0.780580076,0.780580076,0.780580076
