"Step","MIFL - test_acc7","MIFL - test_acc7__MIN","MIFL - test_acc7__MAX","Missing-modal FedAvg - test_acc7","Missing-modal FedAvg - test_acc7__MIN","Missing-modal FedAvg - test_acc7__MAX","FedMSplit - test_acc7","FedMSplit - test_acc7__MIN","FedMSplit - test_acc7__MAX","FedAvg - test_acc7","FedAvg - test_acc7__MIN","FedAvg - test_acc7__MAX"
"0","0.202","0.202","0.202","0.19419924337957126","0.19419924337957126","0.19419924337957126","0.2","0.2","0.2","0.222","0.222","0.222"
"1","0.192","0.192","0.192","0.21437578814627994","0.21437578814627994","0.21437578814627994","0.178","0.178","0.178","0.208","0.208","0.208"
"2","0.23","0.23","0.23","0.21437578814627994","0.21437578814627994","0.21437578814627994","0.206","0.206","0.206","0.204","0.204","0.204"
"3","0.458","0.458","0.458","0.308953341740227","0.308953341740227","0.308953341740227","0.22","0.22","0.22","0.202","0.202","0.202"
"4","0.382","0.382","0.382","0.41992433795712486","0.41992433795712486","0.41992433795712486","0.336","0.336","0.336","0.216","0.216","0.216"
"5","0.54","0.54","0.54","0.45901639344262296","0.45901639344262296","0.45901639344262296","0.42","0.42","0.42","0.218","0.218","0.218"
"6","0.552","0.552","0.552","0.4905422446406053","0.4905422446406053","0.4905422446406053","0.472","0.472","0.472","0.26","0.26","0.26"
"7","0.558","0.558","0.558","0.4930643127364439","0.4930643127364439","0.4930643127364439","0.506","0.506","0.506","0.348","0.348","0.348"
"8","0.576","0.576","0.576","0.5674653215636822","0.5674653215636822","0.5674653215636822","0.526","0.526","0.526","0.342","0.342","0.342"
"9","0.578","0.578","0.578","0.6040353089533418","0.6040353089533418","0.6040353089533418","0.544","0.544","0.544","0.422","0.422","0.422"
"10","0.664","0.664","0.664","0.6406052963430012","0.6406052963430012","0.6406052963430012","0.536","0.536","0.536","0.362","0.362","0.362"
"11","0.638","0.638","0.638","0.6809583858764187","0.6809583858764187","0.6809583858764187","0.558","0.558","0.558","0.482","0.482","0.482"
"12","0.596","0.596","0.596","0.6544766708701135","0.6544766708701135","0.6544766708701135","0.538","0.538","0.538","0.496","0.496","0.496"
"13","0.626","0.626","0.626","0.6254728877679697","0.6254728877679697","0.6254728877679697","0.606","0.606","0.606","0.502","0.502","0.502"
"14","0.644","0.644","0.644","0.6897856242118537","0.6897856242118537","0.6897856242118537","0.606","0.606","0.606","0.488","0.488","0.488"
"15","0.698","0.698","0.698","0.6796973518284993","0.6796973518284993","0.6796973518284993","0.602","0.602","0.602","0.47","0.47","0.47"
"16","0.62","0.62","0.62","0.6834804539722572","0.6834804539722572","0.6834804539722572","0.632","0.632","0.632","0.404","0.404","0.404"
"17","0.682","0.682","0.682","0.691046658259773","0.691046658259773","0.691046658259773","0.636","0.636","0.636","0.506","0.506","0.506"
"18","0.696","0.696","0.696","0.7074401008827238","0.7074401008827238","0.7074401008827238","0.64","0.64","0.64","0.488","0.488","0.488"
"19","0.682","0.682","0.682","0.7225725094577553","0.7225725094577553","0.7225725094577553","0.638","0.638","0.638","0.456","0.456","0.456"
"20","0.654","0.654","0.654","0.7112232030264817","0.7112232030264817","0.7112232030264817","0.648","0.648","0.648","0.496","0.496","0.496"
"21","0.69","0.69","0.69","0.7301387137452712","0.7301387137452712","0.7301387137452712","0.652","0.652","0.652","0.534","0.534","0.534"
"22","0.694","0.694","0.694","0.7313997477931904","0.7313997477931904","0.7313997477931904","0.668","0.668","0.668","0.522","0.522","0.522"
"23","0.73","0.73","0.73","0.7213114754098361","0.7213114754098361","0.7213114754098361","0.642","0.642","0.642","0.528","0.528","0.528"
"24","0.72","0.72","0.72","0.7313997477931904","0.7313997477931904","0.7313997477931904","0.678","0.678","0.678","0.512","0.512","0.512"
"25","0.706","0.706","0.706","0.7351828499369483","0.7351828499369483","0.7351828499369483","0.68","0.68","0.68","0.514","0.514","0.514"
"26","0.74","0.74","0.74","0.7301387137452712","0.7301387137452712","0.7301387137452712","0.664","0.664","0.664","0.512","0.512","0.512"
"27","0.742","0.742","0.742","0.7414880201765448","0.7414880201765448","0.7414880201765448","0.682","0.682","0.682","0.514","0.514","0.514"
"28","0.746","0.746","0.746","0.7477931904161412","0.7477931904161412","0.7477931904161412","0.64","0.64","0.64","0.536","0.536","0.536"
"29","0.728","0.728","0.728","0.7389659520807061","0.7389659520807061","0.7389659520807061","0.666","0.666","0.666","0.536","0.536","0.536"
"30","0.724","0.724","0.724","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.684","0.684","0.684","0.534","0.534","0.534"
"31","0.742","0.742","0.742","0.7528373266078184","0.7528373266078184","0.7528373266078184","0.68","0.68","0.68","0.566","0.566","0.566"
"32","0.746","0.746","0.746","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.692","0.692","0.692","0.572","0.572","0.572"
"33","0.734","0.734","0.734","0.7187894073139974","0.7187894073139974","0.7187894073139974","0.698","0.698","0.698","0.554","0.554","0.554"
"34","0.742","0.742","0.742","0.742749054224464","0.742749054224464","0.742749054224464","0.684","0.684","0.684","0.546","0.546","0.546"
"35","0.732","0.732","0.732","0.755359394703657","0.755359394703657","0.755359394703657","0.7","0.7","0.7","0.582","0.582","0.582"
"36","0.75","0.75","0.75","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.686","0.686","0.686","0.582","0.582","0.582"
"37","0.756","0.756","0.756","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.694","0.694","0.694","0.562","0.562","0.562"
"38","0.74","0.74","0.74","0.742749054224464","0.742749054224464","0.742749054224464","0.706","0.706","0.706","0.568","0.568","0.568"
"39","0.758","0.758","0.758","0.7452711223203027","0.7452711223203027","0.7452711223203027","0.708","0.708","0.708","0.554","0.554","0.554"
"40","0.754","0.754","0.754","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.686","0.686","0.686","0.578","0.578","0.578"
"41","0.736","0.736","0.736","0.7452711223203027","0.7452711223203027","0.7452711223203027","0.678","0.678","0.678","0.578","0.578","0.578"
"42","0.772","0.772","0.772","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.7","0.7","0.7","0.586","0.586","0.586"
"43","0.76","0.76","0.76","0.7452711223203027","0.7452711223203027","0.7452711223203027","0.706","0.706","0.706","0.6","0.6","0.6"
"44","0.768","0.768","0.768","0.7654476670870114","0.7654476670870114","0.7654476670870114","0.72","0.72","0.72","0.616","0.616","0.616"
"45","0.78","0.78","0.78","0.742749054224464","0.742749054224464","0.742749054224464","0.716","0.716","0.716","0.574","0.574","0.574"
"46","0.76","0.76","0.76","0.7440100882723834","0.7440100882723834","0.7440100882723834","0.712","0.712","0.712","0.6","0.6","0.6"
"47","0.744","0.744","0.744","0.7490542244640606","0.7490542244640606","0.7490542244640606","0.7","0.7","0.7","0.602","0.602","0.602"
"48","0.768","0.768","0.768","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.708","0.708","0.708","0.602","0.602","0.602"
